category,type,title,imageUrl,url,status
Bass,sliders,American Deluxe Basses,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16687-GC-August-Merch-Selects-Web-Graphics-slides-bass2.jpg,http://www.guitarcenter.com/Fender-American-Deluxe-Bass-Collection-g6711t1.gc ,enabled
Bass,sliders,Markbass Sale,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16687-GC-August-Merch-Selects-Web-Graphics-slides-bass3.jpg,http://www.guitarcenter.com/Markbass-Sale-g6714t1.gc ,enabled
Bass,subheroes,Fender Special Edition Deluxe Ash Jazz Bass Natural Ash ,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-bass1.jpg,http://www.guitarcenter.com/Fender-Special-Edition-Deluxe-Ash-Jazz-Bass-102571049-i1149721.gc,disabled
Bass,subheroes,New Ibanez SR650 4-String Electric Bass Guitar ,http://images.guitarcenter.com/Content/GC/promo/2015/07-Jul/category-sliders/subheroes/16174-GC-July-Merch-Selects-subhero-bass2.jpg,http://www.guitarcenter.com/Ibanez-SR650-4-String-Electric-Bass-Guitar-110998242-i4093328.gc,enabled
Bass,subheroes,Ibanez Fanned Fret Basses,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-bass2-v2.jpg,http://www.guitarcenter.com/Ibanez-Fanned-Fret-Basses-g6712t1.gc ,enabled
Bass,subheroes,Sterling by Music Man Electric Basses,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-bass3-v2.jpg,"http://www.guitarcenter.com/Sterling-by-Music-Man,Bass,New-Gear.gc?ipp=50",enabled
Bass,subheroes,Ibanez AEB5E Acoustic-Electric Bass ,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-bass4.jpg,http://www.guitarcenter.com/Ibanez-AEB5E-Acoustic-Electric-Bass-105956627-i1470159.gc,enabled
Bass,subheroes,Fender Rumble Bass Combo Amps,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-bass5.jpg,http://www.guitarcenter.com/Fender-Rumble-g6122t1.gc ,enabled
Bass,subheroes,Electro-Harmonix Bass Effects Pedals,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-bass6.jpg,"http://www.guitarcenter.com/Electro-Harmonix,Bass-Effects-Pedals-Effects-Pedals,New-Gear.gc?ipp=50",enabled
Books,sliders,Essential Elements for Band and Strings,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16687-GC-August-Merch-Selects-Web-Graphics-slides-books1.jpg,http://www.guitarcenter.com/Hal-Leonard.gc?src=Essential+Elements&ipp=25&internal=1&browser=&fsrc=essential%20elements,enabled
Books,sliders,New Media titles - current,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16687-GC-August-Merch-Selects-Web-Graphics-slides-books2.jpg,http://www.guitarcenter.com/Books--Sheet-Music---Media.gc?extup=Featured-New&ipp=50,enabled
Books,sliders,Vinyl - current,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16687-GC-August-Merch-Selects-Web-Graphics-slides-books3.jpg,http://www.guitarcenter.com/Vinyl-Collection-g6377t1.gc,enabled
Books,subheroes,Proline - current,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-books1.jpg,"http://www.guitarcenter.com/ProLine,Books--Sheet-Music---Media.gc",enabled
Books,subheroes,chord buddy - current,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-books2.jpg,"http://www.guitarcenter.com/Perry-s-Music-ChordBuddy-Guitar-Learning-System--Worship-Edition-J14270-i3919284.gc",enabled
Books,subheroes,Alfred Serious Blues DVDs,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-books3.jpg,http://www.guitarcenter.com/Alfred-Serious-Blues-g6277t1.gc,enabled
Books,subheroes,Hal Leonard Gibson's Learn & Master Guitar Boxed DVD/CD Set Legacy Of Learning Series,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-books4.jpg,http://www.guitarcenter.com/Hal-Leonard-Gibson-s-Learn---Master-Guitar-Boxed-DVD-CD-Set-Legacy-Of-Learning-Series-106374275-i1847383.gc,enabled
Books,subheroes,eMedia Piano and Keyboard Method Deluxe 2 CD-ROM Set,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-books5.jpg,http://www.guitarcenter.com/eMedia-Piano-and-Keyboard-Method-Deluxe-2-CD-ROM-Set-104787510-i1372022.gc,enabled
Books,subheroes,Playing cards and games,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-books6.jpg,http://www.guitarcenter.com/Card-Games---Board-Games-Games.gc,enabled
DJ,sliders,Best-Seller Pioneer XDJ-RX Rekordbox DJ System,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16687-GC-August-Merch-Selects-Web-Graphics-slides-dj1.jpg,http://www.guitarcenter.com/Pioneer-XDJ-RX-Rekordbox-DJ-System-111273959-i4332450.gc,enabled
DJ,sliders,Save on Native Instruments TRAKTOR KONTROL Z2,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16687-GC-August-Merch-Selects-Web-Graphics-slides-dj2.jpg,http://www.guitarcenter.com/Native-Instruments-Traktor-Kontrol-Z2-108437187-i2768340.gc,enabled
DJ,sliders,New Pioneer DDJ-SZ GOLD DJ Controller,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16687-GC-August-Merch-Selects-Web-Graphics-slides-dj3-v2.jpg,http://www.guitarcenter.com/Pioneer-DDJ-SZ-GOLD-DJ-Controller-111125076-i4229080.gc,enabled
DJ,subheroes,New Numark Mixtrack DJ Controller Series,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-dj1.jpg,http://www.guitarcenter.com/New-Numark-Mixtrack-DJ-Controller-Series-g6500t1.gc,enabled
DJ,subheroes,New Denon DS1 Professional 2-Channel Serato DJ DVS Interface,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-dj2.jpg,http://www.guitarcenter.com/Denon-DS1-Professional-2-Channel-Serato-DJ-DVS-Interface-111383931-i4366640.gc,enabled
DJ,subheroes,Best-Seller Numark NV DJ Controller,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-dj3.jpg,http://www.guitarcenter.com/Numark-NV-DJ-Controller-110602034-i3886042.gc,enabled
DJ,subheroes,New Gruv Glide Record Cleaner,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-dj4.jpg,http://www.guitarcenter.com/-i4229065.gc,enabled
DJ,subheroes,New Pioneer DDJ-WEGO3 Compact DJ Controller with iOS Compatibility,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-dj5.jpg,http://www.guitarcenter.com/Pioneer-DDJ-WEGO3-Compact-DJ-Controller-with-iOS-Compatibility-111273991-i4332447.gc,enabled
DJ,subheroes,New Singtrix Party Bundle Home Karaoke System,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-dj6.jpg,http://www.guitarcenter.com/Singtrix-Party-Bundle-Home-Karaoke-System-110859428-i3998469.gc,enabled
Drums,sliders,"Exclusive Sound Percussion Labs Kicker Pro - 5 Piece Drum Set with Stands, Cymbals",http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16687-GC-August-Merch-Selects-Web-Graphics-slides-drums1.jpg,http://www.guitarcenter.com/Sound-Percussion-Labs-Kicker-Pro---5-Piece-Drum-Set-with-Stands--Cymbals--and-Throne-110167566-i3680474.gc,enabled
Drums,sliders,Exclusive Snare Drums,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16687-GC-August-Merch-Selects-Web-Graphics-slides-drums2.jpg,http://www.guitarcenter.com/Exclusive-Snares-g6516t1.gc,enabled
Drums,sliders,Free OCDP Piccolo snare with Zildjian Super Pack,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16687-GC-August-Merch-Selects-Web-Graphics-slides-drums3.jpg,http://www.guitarcenter.com/Zildjian-ZBT-390-Series-Super-Cymbal-Pack-109139808-i3091514.gc,enabled
Drums,subheroes,New and Exclusive Baja Percussion Collection,http://images.guitarcenter.com/Content/GC/promo/2015/07-Jul/category-sliders/subheroes/16174-GC-July-Merch-Selects-subhero-drums5.jpg,http://www.guitarcenter.com/Baja-Percussion-g6430t1.gc,enabled
Drums,subheroes,Save $80 on Pearl Rhythm Traveler Drum Set with Cymbals & Hardware ,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-drums1.jpg,http://www.guitarcenter.com/Pearl-Rhythm-Traveler-Drum-Set-with-Cymbals---Hardware-H87286-i2616106.gc,disabled
Drums,subheroes,Save $100 on Yamaha DTX430K Kit,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-drums2.jpg,http://www.guitarcenter.com/Yamaha-DTX430K-Electronic-Drum-Set-108253782-i2630980.gc,enabled
Drums,subheroes,Save $20 on SCHLAGWERK X-One Series Cajon,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-drums3.jpg,http://www.guitarcenter.com/SCHLAGWERK-X-One-Series-Cajon-110587169-i3858108.gc,enabled
Drums,subheroes,Save $30 on PDP 900 Series Hardware Pack,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-drums4.jpg,http://www.guitarcenter.com/PDP-900-Series-Hardware-Pack-103923587-i1175631.gc,enabled
Drums,subheroes,Save $50 on Sabian B8X Performance Pack,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-drums5.jpg,http://www.guitarcenter.com/Sabian-B8X-Performance-Pack-110894649-i4089578.gc,enabled
Drums,subheroes,Ludwig Breakbeats by Questlove 4-Piece Shell Pack,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-drums6.jpg,http://www.guitarcenter.com/Ludwig-Breakbeats-by-Questlove-4-Piece-Shell-Pack-108581364-i2813178.gc,enabled
Guitars,sliders,Gibson Price Drops,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16687-GC-August-Merch-Selects-Web-Graphics-slides-guitar1.jpg,http://www.guitarcenter.com/Gibson-USA-2015-Sale-Collection-g6713t1.gc ,enabled
Guitars,sliders,Fender LTD Edition Closeout,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16687-GC-August-Merch-Selects-Web-Graphics-slides-guitar2-v2.jpg,http://www.guitarcenter.com/Fender-Limited-Edition-Sale-g6709t1.gc ,enabled
Guitars,sliders,Ibanez RG6005 Quilt Maple,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16687-GC-August-Merch-Selects-Web-Graphics-slides-guitar3.jpg,http://www.guitarcenter.com/-i4176777.gc,enabled
Guitars,sliders,Ernie Ball Bonamassa Experience,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/experience-bonamassa-GC-775x202_a.jpg,http://www.guitarcenter.com/Ernie-Ball-Bonamassa-Experience-g28228t0.gc,enabled
Guitars,subheroes,Gretsch Guitars G5420T Electromatic Hollowbody,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-guitar1.jpg,http://www.guitarcenter.com/Gretsch-5420T-Collection-g6710t1.gc ,enabled
